case_id,case_label,run_tag,mesh_shape,noc_component,memory_kind,memory_model_family,status,runtime_enabled,control_mode,case_role,mapping_policy,mapping_score,same_home_stack_ratio,vertical_target_ratio,vertical_hops_ratio,remote_home_ratio,route_memory_overlap,vertical_link_pressure,thermal_hotspot_score,stack_hotspot_penalty,vertical_bandwidth_budget,tsv_miv_budget_pressure,power_density_score,reliability_penalty,runtime_policy,runtime_signal_source,thermal_state_source,thermal_input_source_kind,thermal_input_summary_path,thermal_input_window_power_samples_path,hotspot_threshold_c,hotspot_threshold_source,remap_epoch,homeroute_adjustment_count,thermal_guard_actions,peak_temperature_c,avg_temperature_c,vertical_gradient_c,hotspot_block_count,hotspot_layer_count,thermal_replay_sample_count,hotspot_driver_status,hotspot_model_type,hotspot_temperature_source,hotspot_peak_temperature_c,hotspot_avg_temperature_c,hotspot_peak_delta_c,hotspot_avg_delta_c,hotspot_block_delta,hotspot_layer_delta,memory_requests_total,tx_packets_total,rx_packets_total,memory_probe_rows_total
baseline_2d,Baseline 2D,task13_phase2_compose_v2,4x4x1,SnnDL.MulticastRouter,legacy_per_pe,legacy_per_pe,composed,False,observe_only,calibration_only,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,disabled,disabled,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
memory_only_3d,Memory-Only 3D,balanced_20us,4x4x2,SnnDL.MulticastRouter,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,39936,40000,40000,4
noc_only_3d,NoC-Only 3D,task13_phase2_compose_v2,4x4x2,SnnDL.MulticastRouter3DNative,legacy_per_pe,legacy_per_pe,composed,False,observe_only,calibration_only,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,disabled,disabled,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
full_3d,Full 3D,balanced_20us,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,39936,30000,40000,4
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,task20_monolithic_proxy_runtime_smoke_v3,4x4x2,SnnDL.MulticastRouter3DNative,monolithic_like,monolithic_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,-0.46875,0.5,0.25,0.0,0.0,1.0,0.15,1.25,0.0077821011673151474,3.5,0.05357142857142857,2.020330739299611,0.4886131183991106,disabled,disabled,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,1752,304,512,8
full_3d_tile_bundle_v3,Full 3D + Tile Bundle v3,task20_tile_bundle_v3_runtime_refresh_smoke,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,True,adaptive_control,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.43636363636363634,0.5,1.0,0.43420454545454545,1.2335766423357664,0.25,2.0,0.30530007102272727,1.994924726277372,0.6156311658873174,adaptive_3d,joint_runtime,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,256,2,2,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,440,0,512,4
full_3d_mapping,Full 3D + 3D-Aware Mapping,task9_phase2_smoke,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.5,0.5,1.0,0.44375000000000003,1.2152173913043478,0.018181818181818077,0.0,0.0,0.0,0.0,,,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,448,432,256,4
full_3d_thermal_guard,Full 3D + Thermal Guard,task9_phase2_smoke,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,-0.34375,0.75,0.25,0.5,0.5,1.0,0.35000000000000003,1.2152173913043478,0.018181818181818077,0.0,0.0,0.0,0.0,,,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,448,432,256,4
full_3d_runtime_adaptive,Full 3D + Runtime Adaptive,task16c_tile_bundle_v3_exercise_smoke,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,True,adaptive_control,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.5,0.5,1.0,0.44375000000000003,1.25,0.25,2.0,0.31201171875,2.021484375,0.6312744140625,adaptive_3d,joint_runtime,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,256,2,2,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,448,0,512,4
noc_only_3d_bundle_fault_v3,NoC-Only 3D + Bundle Fault v3,task17b_router_fault_v3_smoke,4x4x2,SnnDL.MulticastRouter3DNative,legacy_per_pe,legacy_per_pe,smoke_passed,False,observe_only,runtime_smoke,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,disabled,disabled,,runtime_observability_only,,,70.0,default_hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
